profile_id	gpu	bench	mode	median_ms	min_ms	p90_ms	mean_ms	ratio_vs_fa3_median	error
fwd_auto_current	0	full	whale_fa3_bwd	2.489014	2.402636	2.494278	2.467719	1.078791	
fwd_auto_current	0	full	fa3	2.307225	2.275391	2.319647	2.303084	1.078791	
fwd_auto_current	0	fwd	whale_fwd	0.656153	0.648437	0.667968	0.657396	1.117119	
fwd_auto_current	0	fwd	fa3_fwd	0.587362	0.584101	0.595836	0.588214	1.117119	
fwd_forced_64_64_w4_s3_mr160	0	full	whale_fa3_bwd	2.442412	2.355838	2.489522	2.437169	1.058687	
fwd_forced_64_64_w4_s3_mr160	0	full	fa3	2.307020	2.283991	2.328385	2.308823	1.058687	
fwd_forced_64_64_w4_s3_mr160	0	fwd	whale_fwd	0.677322	0.668548	0.682204	0.677337	1.155512	
fwd_forced_64_64_w4_s3_mr160	0	fwd	fa3_fwd	0.586166	0.583142	0.591897	0.586900	1.155512	
fwd_forced_64_64_w4_s3_mr128	0	full	whale_fa3_bwd	2.440530	2.335655	2.458646	2.425648	1.054443	
fwd_forced_64_64_w4_s3_mr128	0	full	fa3	2.314521	2.286274	2.326871	2.308671	1.054443	
fwd_forced_64_64_w4_s3_mr128	0	fwd	whale_fwd	0.651247	0.645432	0.664087	0.653245	1.099088	
fwd_forced_64_64_w4_s3_mr128	0	fwd	fa3_fwd	0.592534	0.589117	0.599449	0.593625	1.099088	
fwd_forced_64_64_w4_s2_mr160	0	full	whale_fa3_bwd	2.434576	2.403473	2.444394	2.429770	1.081258	
fwd_forced_64_64_w4_s2_mr160	0	full	fa3	2.251614	2.235857	2.254244	2.248482	1.081258	
fwd_forced_64_64_w4_s2_mr160	0	fwd	whale_fwd	0.754218	0.747828	0.759513	0.754272	1.266982	
fwd_forced_64_64_w4_s2_mr160	0	fwd	fa3_fwd	0.595287	0.592507	0.603446	0.596577	1.266982	
fwd_forced_64_64_w8_s3_mr160	0	full	whale_fa3_bwd	2.841413	2.813185	2.907582	2.851733	1.249820	
fwd_forced_64_64_w8_s3_mr160	0	full	fa3	2.273457	2.257682	2.282609	2.274161	1.249820	
fwd_forced_64_64_w8_s3_mr160	0	fwd	whale_fwd	1.133923	1.127111	1.142815	1.135099	1.913881	
fwd_forced_64_64_w8_s3_mr160	0	fwd	fa3_fwd	0.592473	0.588713	0.598025	0.593043	1.913881	
fwd_forced_128_64_w4_s3_mr160	0	full	whale_fa3_bwd	2.504837	2.386629	2.535918	2.489609	1.077893	
fwd_forced_128_64_w4_s3_mr160	0	full	fa3	2.323826	2.300763	2.332654	2.321553	1.077893	
fwd_forced_128_64_w4_s3_mr160	0	fwd	whale_fwd	0.699180	0.692153	0.713314	0.699786	1.188558	
fwd_forced_128_64_w4_s3_mr160	0	fwd	fa3_fwd	0.588259	0.584425	0.597678	0.589220	1.188558	
fwd_forced_128_64_w4_s2_mr160	0	full	whale_fa3_bwd	2.403195	2.392374	2.415227	2.403784	1.057859	
fwd_forced_128_64_w4_s2_mr160	0	full	fa3	2.271753	2.232585	2.312695	2.275374	1.057859	
fwd_forced_128_64_w4_s2_mr160	0	fwd	whale_fwd	0.772654	0.765406	0.790171	0.774463	1.258774	
fwd_forced_128_64_w4_s2_mr160	0	fwd	fa3_fwd	0.613815	0.610671	0.621542	0.614422	1.258774	
fwd_forced_128_128_w4_s3_mr224	0	full	whale_fa3_bwd	2.559492	2.436479	2.574386	2.540568	1.108485	
fwd_forced_128_128_w4_s3_mr224	0	full	fa3	2.309001	2.284436	2.329311	2.303886	1.108485	
fwd_forced_128_128_w4_s3_mr224	0	fwd	whale_fwd	0.740622	0.733775	0.758659	0.742731	1.237672	
fwd_forced_128_128_w4_s3_mr224	0	fwd	fa3_fwd	0.598399	0.587037	0.628048	0.601628	1.237672	
fwd_tma_auto	0	full	whale_fa3_bwd	2.550753	2.407760	3.176689	2.668994	1.098770	
fwd_tma_auto	0	full	fa3	2.321463	2.247129	2.345337	2.300010	1.098770	
fwd_tma_auto	0	fwd	whale_fwd	0.712323	0.701702	0.722453	0.711753	1.202412	
fwd_tma_auto	0	fwd	fa3_fwd	0.592412	0.586427	0.601392	0.593226	1.202412	
fwd_tma_64_64_w4_s3_mr160	0	full	whale_fa3_bwd	2.556358	2.436058	2.572925	2.538470	1.103435	
fwd_tma_64_64_w4_s3_mr160	0	full	fa3	2.316728	2.288330	2.353665	2.317170	1.103435	
fwd_tma_64_64_w4_s3_mr160	0	fwd	whale_fwd	0.762173	0.756777	0.771552	0.763265	1.282721	
fwd_tma_64_64_w4_s3_mr160	0	fwd	fa3_fwd	0.594185	0.591432	0.600931	0.595278	1.282721	
fwd_tma_128_64_w4_s3_mr160	0	full	whale_fa3_bwd	2.376728	2.346177	2.385808	2.374352	1.056327	
fwd_tma_128_64_w4_s3_mr160	0	full	fa3	2.249992	2.233946	2.264367	2.249697	1.056327	
fwd_tma_128_64_w4_s3_mr160	0	fwd	whale_fwd	0.703194	0.694425	0.712574	0.703281	1.192218	
fwd_tma_128_64_w4_s3_mr160	0	fwd	fa3_fwd	0.589820	0.584615	0.597618	0.590880	1.192218	
